distance,time_stamp,destination,source,price,surge_multiplier,name,id
2.94,2018-11-26 19:33:22.09-07,Fenway,North Station,22.00,1.00,Black,20
2.67,2018-11-26 19:42:21.956-07,Beacon Hill,North End,9.50,1.00,UberX,30
1.57,2018-11-26 07:50:09.625-07,North End,Theatre District,8.00,1.00,WAV,60
3.2,2018-11-26 18:24:23.593-07,Northeastern University,West End,,1.00,Taxi,73
3.05,2018-11-26 05:05:09.659-07,Fenway,North Station,10.00,1.00,UberPool,87
4.43,2018-11-25 22:36:27.826-07,Financial District,Fenway,12.50,1.00,UberX,98
2.66,2018-11-26 21:21:23.489-07,Fenway,Theatre District,10.50,1.00,WAV,130
2.66,2018-11-26 20:54:22.184-07,Fenway,Theatre District,33.00,1.00,Black SUV,133
1.4,2018-11-26 11:47:09.747-07,Boston University,Back Bay,7.50,1.00,WAV,146
1.97,2018-11-26 13:08:09.987-07,Northeastern University,Beacon Hill,9.00,1.00,UberX,167
3.07,2018-11-26 20:57:22.285-07,North Station,Fenway,24.00,1.00,Black,173
1.16,2018-11-26 22:09:22.125-07,West End,North End,7.00,1.00,UberPool,179
2.14,2018-11-26 11:53:09.58-07,South Station,West End,16.00,1.00,UberXL,185
2.58,2018-11-26 13:14:09.929-07,Beacon Hill,South Station,30.50,1.00,Black SUV,199
1.57,2018-11-26 23:06:24.527-07,North End,Theatre District,9.50,1.00,WAV,263
1.57,2018-11-26 18:27:21.967-07,North End,Theatre District,28.50,1.00,Black SUV,265
1.08,2018-11-26 19:36:22.234-07,Northeastern University,Back Bay,12.00,1.00,UberPool,275
2.8,2018-11-26 16:33:14.369-07,Boston University,West End,32.50,1.00,Black SUV,282
1.58,2018-11-26 20:30:23.826-07,North Station,South Station,13.00,1.00,UberXL,288
1.61,2018-11-26 16:27:14.993-07,Haymarket Square,Theatre District,11.50,1.00,UberX,315
0.55,2018-11-26 13:14:10.02-07,South Station,Theatre District,26.00,1.00,Black SUV,329
1.3,2018-11-26 23:45:22.192-07,Theatre District,South Station,6.50,1.00,UberPool,339
1.79,2018-11-26 05:41:09.571-07,Beacon Hill,North End,17.50,1.00,UberXL,357
0.61,2018-11-26 03:50:09.848-07,West End,Haymarket Square,7.50,1.00,UberX,365
0.61,2018-11-25 22:36:25.939-07,West End,Haymarket Square,26.00,1.00,Black SUV,367
2.46,2018-11-26 23:54:23.827-07,Beacon Hill,Fenway,,1.00,Taxi,385
2.34,2018-11-26 20:45:22.466-07,Back Bay,North End,31.00,1.00,Black SUV,391
2.66,2018-11-26 14:47:09.713-07,Fenway,Theatre District,8.50,1.00,UberPool,424
2.14,2018-11-26 05:53:09.976-07,South Station,West End,9.00,1.00,WAV,425
2.14,2018-11-25 23:27:02.264-07,South Station,West End,9.00,1.00,UberX,431
2.61,2018-11-26 17:15:12.587-07,Financial District,Northeastern University,10.50,1.00,WAV,442
1.04,2018-11-26 12:44:09.766-07,Financial District,North End,8.00,1.00,UberPool,463
2.58,2018-11-26 05:23:10.166-07,Beacon Hill,South Station,29.50,1.00,Black SUV,475
2.33,2018-11-26 14:32:09.564-07,North End,Back Bay,10.00,1.00,UberPool,505
3.39,2018-11-26 16:57:15.06-07,North Station,Boston University,19.50,1.00,UberXL,531
1.08,2018-11-26 22:33:22.267-07,North End,North Station,7.50,1.00,UberPool,539
1.08,2018-11-26 16:21:14.229-07,North End,North Station,11.00,1.00,UberXL,541
1.08,2018-11-26 15:41:42.842-07,North End,North Station,15.00,1.00,Black,543
1.57,2018-11-26 20:33:22.193-07,North End,Theatre District,7.50,1.00,UberPool,551
1.97,2018-11-26 19:27:23.881-07,Northeastern University,Beacon Hill,7.50,1.00,UberPool,576
1.89,2018-11-26 18:18:35.949-07,Theatre District,Northeastern University,,1.00,Taxi,609
3.05,2018-11-26 23:06:21.835-07,Fenway,North Station,,1.00,Taxi,615
1.64,2018-11-26 05:29:09.74-07,Back Bay,Northeastern University,8.00,1.00,WAV,622
1.34,2018-11-26 19:15:22.5-07,Fenway,Back Bay,12.00,1.00,UberPool,633
1.35,2018-11-26 03:56:09.724-07,Haymarket Square,Beacon Hill,11.00,1.00,UberX,690
2.62,2018-11-26 23:03:21.948-07,Boston University,Theatre District,10.50,1.00,UberX,718
2.62,2018-11-26 16:54:14.922-07,Boston University,Theatre District,16.00,1.00,UberXL,722
1.52,2018-11-26 17:30:14.145-07,North End,Beacon Hill,,1.00,Taxi,725
3.05,2018-11-26 17:24:15.205-07,Fenway,North Station,11.00,1.00,WAV,733
1.57,2018-11-26 02:11:10.032-07,North End,Theatre District,16.50,1.00,Black,753
1.57,2018-11-26 04:41:10.499-07,North End,Theatre District,,1.00,Taxi,756
1.57,2018-11-26 17:58:49.142-07,North End,Theatre District,26.00,1.00,Black SUV,769
1.5,2018-11-26 16:21:14.71-07,Back Bay,Fenway,15.00,1.00,Black,779
2.27,2018-11-26 02:29:11.883-07,Boston University,Beacon Hill,9.50,1.00,UberX,812
2.14,2018-11-26 03:35:09.581-07,South Station,West End,15.00,1.00,UberXL,827
2.14,2018-11-26 14:32:09.517-07,South Station,West End,8.50,1.00,UberX,832
1.25,2018-11-26 11:26:09.957-07,Haymarket Square,Financial District,7.50,1.00,UberPool,845
1.25,2018-11-26 23:24:23.635-07,Haymarket Square,Financial District,,1.00,Taxi,846
3.44,2018-11-26 19:48:22.142-07,Back Bay,South Station,27.00,1.00,Black,871
1.61,2018-11-26 17:15:14.332-07,Haymarket Square,Theatre District,,1.00,Taxi,883
3.08,2018-11-26 06:44:10.762-07,Northeastern University,West End,18.50,1.00,UberXL,889
1.35,2018-11-26 02:11:12.935-07,North End,Beacon Hill,13.00,1.00,UberX,900
2.19,2018-11-26 00:38:36.137-07,North End,Beacon Hill,29.50,1.00,Black SUV,906
2.19,2018-11-26 18:24:22.101-07,North End,Beacon Hill,8.50,1.00,UberX,911
1.35,2018-11-26 17:30:14.239-07,Haymarket Square,Beacon Hill,27.50,1.00,Black SUV,912
2.5,2018-11-26 18:48:22.279-07,Beacon Hill,South Station,15.00,1.00,UberXL,921
4.55,2018-11-26 19:00:22.44-07,Financial District,Northeastern University,13.00,1.00,UberX,929
1.16,2018-11-26 14:29:09.545-07,Theatre District,Haymarket Square,12.50,1.00,UberXL,935
2,2018-11-26 04:44:09.902-07,South Station,Back Bay,21.50,1.00,Black,949
0.63,2018-11-25 22:36:26.259-07,Financial District,South Station,16.00,1.00,Black,1000
2.66,2018-11-26 15:32:27.007-07,Theatre District,Fenway,,1.00,Taxi,1007
2.66,2018-11-26 17:17:16.032-07,Theatre District,Fenway,20.50,1.00,Black,1008
2.32,2018-11-26 14:20:12.25-07,Haymarket Square,Back Bay,,1.00,Taxi,1015
2.38,2018-11-26 17:45:25.437-07,Theatre District,Fenway,30.50,1.00,Black SUV,1026
1.47,2018-11-26 22:06:23.935-07,Back Bay,Northeastern University,27.50,1.00,Black SUV,1034
1.47,2018-11-26 18:45:21.946-07,Back Bay,Northeastern University,15.00,1.00,Black,1037
2.86,2018-11-26 21:42:22.298-07,West End,Northeastern University,9.50,1.00,WAV,1043
3.3,2018-11-26 17:58:49.643-07,Northeastern University,North Station,20.50,1.00,UberXL,1054
3.3,2018-11-25 23:25:02.599-07,Northeastern University,North Station,12.00,1.00,WAV,1055
0.92,2018-11-26 23:21:21.856-07,North Station,North End,8.50,1.00,UberX,1075
0.92,2018-11-26 20:42:22.192-07,North Station,North End,,1.00,Taxi,1079
1.64,2018-11-26 15:45:12.093-07,Back Bay,Northeastern University,26.00,1.00,Black SUV,1087
1.64,2018-11-26 20:18:24.28-07,Back Bay,Northeastern University,14.00,1.00,Black,1088
1.08,2018-11-25 23:23:02.643-07,North End,North Station,8.50,1.00,UberX,1091
1.08,2018-11-26 23:33:22.045-07,North End,North Station,27.50,1.00,Black SUV,1095
1.04,2018-11-26 14:02:10.228-07,Financial District,North End,,1.00,Taxi,1102
0.3,2018-11-26 23:06:23.622-07,North Station,North End,7.00,1.00,UberX,1112
1.25,2018-11-26 19:12:22.164-07,Haymarket Square,Financial District,7.50,1.00,UberPool,1149
1.5,2018-11-26 23:45:22.238-07,Back Bay,Fenway,,1.00,Taxi,1158
1.5,2018-11-26 09:41:09.758-07,Back Bay,Fenway,27.50,1.00,Black SUV,1159
2.38,2018-11-26 23:33:21.924-07,North Station,South Station,8.50,1.00,UberX,1177
2.61,2018-11-26 13:32:09.673-07,Beacon Hill,Northeastern University,8.00,1.00,UberPool,1191
2.61,2018-11-26 08:26:09.6-07,Beacon Hill,Northeastern University,17.00,1.00,Black,1194
2.79,2018-11-26 08:08:10.049-07,Beacon Hill,Boston University,19.50,1.00,Black,1229
1.58,2018-11-26 16:57:14.549-07,North Station,South Station,13.50,1.00,UberXL,1232
1.58,2018-11-26 10:47:09.688-07,North Station,South Station,17.50,1.00,Black,1237
7.34,2018-11-25 23:14:17.376-07,North End,Back Bay,15.50,1.00,UberPool,1238
0.92,2018-11-26 13:44:10.577-07,North Station,North End,7.00,1.00,UberX,1256
1.19,2018-11-26 16:24:14.842-07,North End,North Station,27.00,1.00,Black SUV,1265
1.64,2018-11-26 23:45:23.75-07,Back Bay,Northeastern University,12.50,1.00,UberXL,1270
2.36,2018-11-26 20:21:23.571-07,Haymarket Square,Beacon Hill,,1.00,Taxi,1310
3.37,2018-11-26 22:15:21.974-07,Northeastern University,North Station,11.00,1.00,UberPool,1332
2.62,2018-11-26 17:43:40.83-07,Boston University,Theatre District,16.00,1.00,UberXL,1345
2.62,2018-11-26 09:38:10.557-07,Boston University,Theatre District,10.50,1.00,WAV,1347
1.25,2018-11-26 15:14:09.759-07,Haymarket Square,Financial District,,1.00,Taxi,1360
3.3,2018-11-26 16:21:14.387-07,Northeastern University,North Station,11.00,1.00,UberPool,1390
2.19,2018-11-26 23:42:22.197-07,North End,Beacon Hill,30.50,1.00,Black SUV,1419
2.33,2018-11-26 21:51:22.162-07,North End,Back Bay,24.00,1.00,Black,1425
2.8,2018-11-26 22:27:21.865-07,Boston University,West End,12.00,1.00,WAV,1429
2.8,2018-11-26 04:47:09.62-07,Boston University,West End,,1.00,Taxi,1432
4.44,2018-11-26 16:18:14.567-07,Boston University,Financial District,36.50,1.00,Black SUV,1441
1.1,2018-11-26 11:59:10.292-07,Northeastern University,Back Bay,,1.00,Taxi,1450
3.05,2018-11-26 22:15:24.268-07,Fenway,North Station,9.50,1.00,UberPool,1462
2.72,2018-11-25 23:22:01.954-07,West End,Fenway,9.50,1.00,WAV,1475
2.84,2018-11-26 20:33:22.222-07,Fenway,West End,10.50,1.00,UberX,1477
2.17,2018-11-26 19:39:23.719-07,South Station,North Station,10.00,1.00,UberPool,1499
1.91,2018-11-26 15:53:09.845-07,Theatre District,Northeastern University,8.50,1.00,UberPool,1511
3.23,2018-11-26 20:06:22.503-07,North Station,Northeastern University,26.00,1.00,Black,1517
2.66,2018-11-26 22:15:24.439-07,Theatre District,Fenway,18.50,1.00,Black,1524
0.49,2018-11-26 23:45:22.031-07,North Station,Haymarket Square,6.50,1.00,UberPool,1533
0.49,2018-11-26 22:24:22.135-07,North Station,Haymarket Square,9.50,1.00,UberXL,1534
1.25,2018-11-26 23:00:22.384-07,Haymarket Square,Financial District,8.00,1.00,UberX,1538
2.62,2018-11-26 18:09:21.858-07,Boston University,Theatre District,10.50,1.00,WAV,1573
2.62,2018-11-26 18:15:22.444-07,Boston University,Theatre District,10.50,1.00,UberX,1578
2.27,2018-11-26 14:44:10.082-07,Boston University,Beacon Hill,8.50,1.00,UberPool,1580
2.27,2018-11-26 19:57:23.705-07,Boston University,Beacon Hill,,1.00,Taxi,1583
2.57,2018-11-25 21:49:39.095-07,Financial District,Northeastern University,21.50,1.00,UberX,1613
2.57,2018-11-26 13:32:10.241-07,Financial District,Northeastern University,21.50,1.00,WAV,1614
2.8,2018-11-26 20:00:22.445-07,Boston University,West End,,1.00,Taxi,1625
1.08,2018-11-26 23:54:23.76-07,Northeastern University,Back Bay,8.50,1.00,UberPool,1667
1.08,2018-11-26 17:36:15.183-07,Northeastern University,Back Bay,16.00,1.00,Black,1668
1.44,2018-11-26 07:20:09.563-07,Boston University,Back Bay,7.50,1.00,UberPool,1675
2.15,2018-11-26 21:24:23.81-07,Back Bay,Haymarket Square,32.50,1.00,Black SUV,1681
1.5,2018-11-26 18:18:22.316-07,Back Bay,Fenway,7.00,1.00,UberX,1689
