temp,location,clouds,pressure,rain,time_stamp,humidity,wind
42.42,Back Bay,1.00,1012.14,0.1228,2018-12-16 16:45:01-07,0.77,11.25
42.43,Beacon Hill,1.00,1012.15,0.1846,2018-12-16 16:45:01-07,0.76,11.32
42.50,Boston University,1.00,1012.15,0.1089,2018-12-16 16:45:01-07,0.76,11.07
42.11,Fenway,1.00,1012.13,0.0969,2018-12-16 16:45:01-07,0.77,11.09
43.13,Financial District,1.00,1012.14,0.1786,2018-12-16 16:45:01-07,0.75,11.49
42.34,Haymarket Square,1.00,1012.15,0.2068,2018-12-16 16:45:01-07,0.77,11.49
42.36,North End,1.00,1012.15,0.2088,2018-12-16 16:45:01-07,0.77,11.46
42.21,North Station,1.00,1012.16,0.2069,2018-12-16 16:45:01-07,0.77,11.37
42.07,Northeastern University,1.00,1012.12,0.102,2018-12-16 16:45:01-07,0.78,11.28
43.05,South Station,1.00,1012.12,0.1547,2018-12-16 16:45:01-07,0.75,11.58
42.09,Theatre District,1.00,1012.13,0.1428,2018-12-16 16:45:01-07,0.78,11.41
43.28,Back Bay,0.81,990.81,,2018-11-27 12:45:20-07,0.71,8.30
43.27,Beacon Hill,0.80,990.80,,2018-11-27 12:45:20-07,0.71,8.30
43.35,Boston University,0.82,990.82,,2018-11-27 12:45:20-07,0.71,8.24
43.07,Fenway,0.82,990.82,,2018-11-27 12:45:20-07,0.72,8.28
43.35,Financial District,0.80,990.80,,2018-11-27 12:45:20-07,0.71,8.35
43.20,Haymarket Square,0.80,990.79,,2018-11-27 12:45:20-07,0.71,8.31
43.24,North End,0.80,990.79,,2018-11-27 12:45:20-07,0.71,8.32
41.95,North Station,0.81,991.63,,2018-11-27 12:45:20-07,0.73,10.87
43.05,Northeastern University,0.81,990.82,,2018-11-27 12:45:20-07,0.72,8.31
43.31,South Station,0.80,990.80,0.0023,2018-11-27 12:45:20-07,0.71,8.36
43.05,Theatre District,0.80,990.80,,2018-11-27 12:45:20-07,0.72,8.34
41.89,West End,0.81,991.64,,2018-11-27 12:45:20-07,0.74,10.88
43.92,North Station,1.00,1006.29,0.0409,2018-11-26 17:17:13-07,0.90,10.09
43.87,Northeastern University,1.00,1006.24,0.0284,2018-11-26 17:17:13-07,0.91,9.74
39.23,Back Bay,0.83,996.09,,2018-11-28 17:02:07-07,0.66,10.67
39.18,Beacon Hill,0.83,996.08,,2018-11-28 17:02:07-07,0.67,10.69
39.23,Boston University,0.83,996.11,,2018-11-28 17:02:07-07,0.66,10.53
39.10,Fenway,0.83,996.11,,2018-11-28 17:02:07-07,0.67,10.59
39.56,Financial District,0.83,996.07,,2018-11-28 17:02:07-07,0.66,10.79
39.18,Haymarket Square,0.83,996.07,,2018-11-28 17:02:07-07,0.66,10.73
39.21,North End,0.82,996.07,,2018-11-28 17:02:07-07,0.66,10.75
39.10,Northeastern University,0.83,996.10,,2018-11-28 17:02:07-07,0.67,10.66
39.54,South Station,0.83,996.08,,2018-11-28 17:02:07-07,0.66,10.80
39.10,Theatre District,0.83,996.08,,2018-11-28 17:02:07-07,0.67,10.75
39.10,West End,0.83,996.07,,2018-11-28 17:02:07-07,0.67,10.69
27.27,Back Bay,0.15,1033.40,,2018-12-14 04:45:01-07,0.80,2.96
27.27,Beacon Hill,0.15,1033.40,,2018-12-14 04:45:01-07,0.81,2.99
27.07,Boston University,0.15,1033.40,,2018-12-14 04:45:01-07,0.80,2.84
26.88,Fenway,0.15,1033.40,,2018-12-14 04:45:01-07,0.81,2.88
27.26,Financial District,0.15,1033.40,,2018-12-14 04:45:01-07,0.81,3.07
27.34,Haymarket Square,0.15,1033.40,,2018-12-14 04:45:01-07,0.81,3.04
27.43,North End,0.15,1033.40,,2018-12-14 04:45:01-07,0.81,3.05
27.22,North Station,0.15,1033.40,,2018-12-14 04:45:01-07,0.81,3.01
26.93,Northeastern University,0.16,1033.40,,2018-12-14 04:45:01-07,0.81,2.94
27.17,South Station,0.15,1033.40,,2018-12-14 04:45:01-07,0.81,3.07
27.03,Theatre District,0.15,1033.40,,2018-12-14 04:45:01-07,0.82,3.03
45.49,Back Bay,1.00,1012.46,,2018-11-26 10:35:10-07,0.86,6.47
45.42,Beacon Hill,1.00,1012.47,,2018-11-26 10:35:10-07,0.86,6.48
45.55,Boston University,1.00,1012.46,,2018-11-26 10:35:10-07,0.85,6.43
45.64,Fenway,1.00,1012.46,,2018-11-26 10:35:10-07,0.85,6.44
45.54,Financial District,1.00,1012.47,,2018-11-26 10:35:10-07,0.85,6.50
45.42,Haymarket Square,1.00,1012.47,,2018-11-26 10:35:10-07,0.86,6.50
45.43,North End,1.00,1012.47,,2018-11-26 10:35:10-07,0.86,6.51
45.47,North Station,1.00,1012.47,,2018-11-26 10:35:10-07,0.86,6.50
